Date;Open;High;Low;Close;Adj Close;Volume
5.07.2017;61.389.999;62.070.000;61.169.998;62.049.999;62.049.999;746800
6.07.2017;61.500.000;62.099.998;60.930.000;61.270.000;61.270.000;767700
7.07.2017;61.480.000;62.560.001;61.330.002;62.540.001;62.540.001;624500
10.07.2017;62.770.000;63.049.999;62.040.001;62.270.000;62.270.000;581600
11.07.2017;62.279.999;63.110.001;61.810.001;62.919.998;62.919.998;597500
12.07.2017;63.470.001;64.769.997;63.130.001;64.470.001;64.470.001;691600
13.07.2017;64.550.003;64.809.998;63.320.000;63.630.001;63.630.001;512600
14.07.2017;63.630.001;63.630.001;62.189.999;62.889.999;62.889.999;674200
17.07.2017;64.580.002;64.580.002;63.650.002;64.029.999;64.029.999;541800
18.07.2017;63.799.999;64.089.996;63.389.999;63.759.998;63.759.998;341800
19.07.2017;64.080.002;64.529.999;63.799.999;64.459.999;64.459.999;513500
20.07.2017;64.639.999;64.959.999;64.000.000;64.430.000;64.430.000;350600
21.07.2017;64.269.997;64.269.997;63.590.000;63.770.000;63.770.000;506900
24.07.2017;63.759.998;64.489.998;63.410.000;64.449.997;64.449.997;448500
25.07.2017;64.440.002;65.430.000;63.990.002;64.930.000;64.930.000;576700
26.07.2017;65.099.998;65.440.002;64.680.000;64.980.003;64.980.003;560100
27.07.2017;65.500.000;66.089.996;63.720.001;64.870.003;64.870.003;701200
28.07.2017;64.489.998;65.099.998;63.950.001;64.849.998;64.849.998;649400
31.07.2017;65.160.004;65.430.000;63.840.000;64.449.997;64.449.997;612700
1.08.2017;64.540.001;65.669.998;64.440.002;65.470.001;65.470.001;715500
2.08.2017;65.599.998;65.669.998;63.459.999;64.019.997;64.019.997;2118300
3.08.2017;69.510.002;70.000.000;66.750.000;69.800.003;69.800.003;4305500
4.08.2017;69.949.997;71.529.999;69.519.997;71.309.998;71.309.998;1562100
7.08.2017;71.050.003;71.400.002;70.059.998;70.620.003;70.620.003;1561000
8.08.2017;70.139.999;70.669.998;69.529.999;69.940.002;69.940.002;973200
9.08.2017;69.110.001;70.300.003;68.540.001;69.860.001;69.860.001;1131700
10.08.2017;69.500.000;69.820.000;67.419.998;67.970.001;67.970.001;1132700
11.08.2017;67.680.000;68.959.999;67.389.999;68.669.998;68.669.998;712200
14.08.2017;69.449.997;70.430.000;69.070.000;70.360.001;70.360.001;851100
15.08.2017;70.339.996;70.550.003;69.360.001;70.300.003;70.300.003;598000
16.08.2017;70.430.000;71.480.003;70.129.997;70.820.000;70.820.000;896500
17.08.2017;70.349.998;70.660.004;69.260.002;69.320.000;69.320.000;655100
18.08.2017;69.040.001;69.809.998;68.779.999;69.739.998;69.739.998;485300
21.08.2017;69.580.002;70.599.998;69.480.003;70.269.997;70.269.997;630400
22.08.2017;70.389.999;71.849.998;70.269.997;71.639.999;71.639.999;616700
23.08.2017;71.120.003;72.000.000;71.029.999;71.529.999;71.529.999;439300
24.08.2017;71.660.004;72.150.002;71.349.998;72.029.999;72.029.999;467500
25.08.2017;72.230.003;73.370.003;71.690.002;71.809.998;71.809.998;590100
28.08.2017;72.000.000;72.139.999;71.190.002;71.680.000;71.680.000;492800
29.08.2017;70.720.001;71.910.004;70.519.997;71.519.997;71.519.997;334700
30.08.2017;71.500.000;72.239.998;71.309.998;72.000.000;72.000.000;615000
31.08.2017;71.919.998;72.599.998;71.809.998;72.480.003;72.480.003;534100
1.09.2017;72.629.997;73.120.003;72.199.997;72.660.004;72.660.004;652700
5.09.2017;72.220.001;72.489.998;71.019.997;71.980.003;71.980.003;795900
6.09.2017;72.099.998;72.699.997;71.099.998;72.120.003;72.120.003;720600
7.09.2017;72.349.998;72.980.003;72.129.997;72.239.998;72.239.998;1138700
8.09.2017;72.389.999;72.980.003;71.800.003;72.849.998;72.849.998;656400
11.09.2017;73.419.998;75.410.004;73.419.998;74.800.003;74.800.003;1303900
12.09.2017;74.940.002;75.750.000;74.239.998;75.629.997;75.629.997;641800
13.09.2017;75.629.997;76.269.997;75.330.002;75.410.004;75.410.004;881600
14.09.2017;75.279.999;75.889.999;74.730.003;75.230.003;75.230.003;601900
15.09.2017;74.849.998;75.070.000;74.269.997;75.019.997;75.019.997;708000
18.09.2017;75.209.999;76.180.000;75.209.999;75.970.001;75.970.001;609500
19.09.2017;76.129.997;76.300.003;75.059.998;75.570.000;75.570.000;472600
20.09.2017;75.430.000;75.529.999;74.639.999;75.250.000;75.250.000;836600
21.09.2017;75.500.000;75.669.998;74.540.001;75.430.000;75.430.000;338900
22.09.2017;75.320.000;75.889.999;74.919.998;75.580.002;75.580.002;346300
25.09.2017;75.580.002;75.870.003;73.269.997;73.889.999;73.889.999;559200
26.09.2017;74.220.001;74.699.997;73.180.000;73.830.002;73.830.002;415400
27.09.2017;74.349.998;75.940.002;73.910.004;75.650.002;75.650.002;477800
28.09.2017;75.489.998;75.779.999;74.430.000;74.570.000;74.570.000;477500
29.09.2017;74.599.998;75.059.998;74.010.002;74.889.999;74.889.999;581700
2.10.2017;75.129.997;75.610.001;74.459.999;75.389.999;75.389.999;401600
3.10.2017;75.449.997;76.500.000;75.139.999;75.980.003;75.980.003;489900
4.10.2017;76.050.003;76.269.997;75.220.001;76.120.003;76.120.003;397500
5.10.2017;76.410.004;77.300.003;76.029.999;76.900.002;76.900.002;695900
6.10.2017;76.610.001;77.470.001;76.220.001;77.379.997;77.379.997;460100
9.10.2017;77.440.002;77.769.997;77.150.002;77.650.002;77.650.002;428700
10.10.2017;77.839.996;78.139.999;75.980.003;76.230.003;76.230.003;618400
11.10.2017;76.540.001;77.080.002;75.809.998;76.940.002;76.940.002;634600
12.10.2017;76.919.998;77.900.002;76.900.002;77.220.001;77.220.001;440200
13.10.2017;77.800.003;78.110.001;77.459.999;77.669.998;77.669.998;426600
16.10.2017;78.000.000;78.410.004;77.570.000;78.330.002;78.330.002;426000
17.10.2017;78.410.004;79.040.001;78.360.001;79.019.997;79.019.997;371200
18.10.2017;79.500.000;79.730.003;78.599.998;78.669.998;78.669.998;325700
19.10.2017;78.389.999;78.849.998;77.910.004;78.620.003;78.620.003;473600
